idx	pmid	cancer_name_from_study	cohortsize	cancer_class	gene	ensemblid	mutation_type	element	num_of_mutations	mutatedsamplesize	somatic	germline	evidencetype	evidencemethod	adult_cancer	project_code	data_source_url	cancer_category	primary_site	cancer_full_name	solid_tumor	cancertype	project_source	first_author_first_name	first_author_last_name	journal_name	year	cosmic
1	23348506	melanoma	70	metastatic	TERT	ENSG00000164362	SNV	promoter	NA	50	Yes	No	experimental validation	luciferase reporter assay	adult	NA	NA	Carcinoma	Skin	Skin Cutaneous Melanoma	solid	SKCM	TCGA	Franklin	Huang	Science	2013	Yes
2	24092746	PanCancer	88	primary	WDR74	ENSG00000133316	SNV	promoter	NA	NA	Yes	No	computational prediction	FunSeq	adult	NA	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Ekta	Khurana	Science	2013	No
3	25261935	PanCancer	863	primary/metastatic	ETS1	ENSG00000134954	SNV	enhancer	NA	6	Yes	No	computational prediction	custom statistic test (hotspot)	adult	none	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Nils	Weinhold	Nature Genetics	2014	No
4	25261935	PanCancer	863	primary/metastatic	FLI1	ENSG00000151702	SNV	enhancer	NA	6	Yes	No	computational prediction	custom statistic test (hotspot)	adult	none	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Nils	Weinhold	Nature Genetics	2014	Yes
5	25261935	PanCancer	863	primary/metastatic	AC006014.1	ENSG00000268891	SNV	promoter	NA	4	Yes	No	computational prediction	custom statistic test (hotspot)	adult	none	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Nils	Weinhold	Nature Genetics	2014	No
6	25261935	PanCancer	863	primary/metastatic	AC099552.4	ENSG00000217825	SNV	promoter	NA	6	Yes	No	computational prediction	custom statistic test (hotspot)	adult	none	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Nils	Weinhold	Nature Genetics	2014	No
7	25261935	PanCancer	863	primary/metastatic	ADAMTS10	ENSG00000261964	SNV	promoter	NA	3	Yes	No	computational prediction	custom statistic test (hotspot)	adult	none	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Nils	Weinhold	Nature Genetics	2014	No
8	25261935	PanCancer	863	primary/metastatic	AGAP5	ENSG00000172650	SNV	promoter	NA	6	Yes	No	computational prediction	custom statistic test (hotspot)	adult	none	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Nils	Weinhold	Nature Genetics	2014	No
9	25261935	PanCancer	863	primary/metastatic	AGBL4	ENSG00000186094	SNV	promoter	NA	3	Yes	No	computational prediction	custom statistic test (hotspot)	adult	none	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Nils	Weinhold	Nature Genetics	2014	No
10	25261935	PanCancer	863	primary/metastatic	AL591806.1	ENSG00000268154	SNV	promoter	NA	3	Yes	No	computational prediction	custom statistic test (hotspot)	adult	none	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Nils	Weinhold	Nature Genetics	2014	No
11	25261935	PanCancer	863	primary/metastatic	AL603965.1	ENSG00000215033	SNV	promoter	NA	4	Yes	No	computational prediction	custom statistic test (hotspot)	adult	none	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Nils	Weinhold	Nature Genetics	2014	No
12	25261935	PanCancer	863	primary/metastatic	ALDH3A2	ENSG00000072210	SNV	promoter	NA	4	Yes	No	computational prediction	custom statistic test (hotspot)	adult	none	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Nils	Weinhold	Nature Genetics	2014	No
13	25261935	PanCancer	863	primary/metastatic	ALG10B	ENSG00000175548	SNV	promoter	NA	8	Yes	No	computational prediction	custom statistic test (hotspot)	adult	none	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Nils	Weinhold	Nature Genetics	2014	No
14	25261935	PanCancer	863	primary/metastatic	ANKRD53	ENSG00000144031	SNV	promoter	NA	6	Yes	No	computational prediction	custom statistic test (hotspot)	adult	none	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Nils	Weinhold	Nature Genetics	2014	No
15	25261935	PanCancer	863	primary/metastatic	ANXA8L2	ENSG00000186807	SNV	promoter	NA	4	Yes	No	computational prediction	custom statistic test (hotspot)	adult	none	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Nils	Weinhold	Nature Genetics	2014	No
16	25261935	PanCancer	863	primary/metastatic	AP003733.1	ENSG00000269089	SNV	promoter	NA	3	Yes	No	computational prediction	custom statistic test (hotspot)	adult	none	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Nils	Weinhold	Nature Genetics	2014	No
17	25261935	PanCancer	863	primary/metastatic	AP2A1	ENSG00000196961	SNV	promoter	NA	5	Yes	No	computational prediction	custom statistic test (hotspot)	adult	none	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Nils	Weinhold	Nature Genetics	2014	No
18	25261935	PanCancer	863	primary/metastatic	AQP7	ENSG00000165269	SNV	promoter	NA	3	Yes	No	computational prediction	custom statistic test (hotspot)	adult	none	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Nils	Weinhold	Nature Genetics	2014	No
19	25261935	PanCancer	863	primary/metastatic	ARHGEF18	ENSG00000104880	SNV	promoter	NA	6	Yes	No	computational prediction	custom statistic test (hotspot)	adult	none	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Nils	Weinhold	Nature Genetics	2014	No
20	25261935	PanCancer	863	primary/metastatic	ARHGEF35	ENSG00000213214	SNV	promoter	NA	7	Yes	No	computational prediction	custom statistic test (hotspot)	adult	none	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Nils	Weinhold	Nature Genetics	2014	No
21	25261935	PanCancer	863	primary/metastatic	BCL2	ENSG00000171791	SNV	promoter	NA	6	Yes	No	computational prediction	custom statistic test (hotspot)	adult	none	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Nils	Weinhold	Nature Genetics	2014	Yes
22	25261935	PanCancer	863	primary/metastatic	BCL2L11	ENSG00000153094	SNV	promoter	NA	3	Yes	No	computational prediction	custom statistic test (hotspot)	adult	none	NA	Mix	Mix	PanCancer	mix	PanCancer	NA	Nils	Weinhold	Nature Genetics	2014	No
